id,title_ko,title_jp,title_en,type,series,release_year,definition
th01,동방영이전 ~ The Highly Responsive to Prayers,東方靈異伝　～ The Highly Responsive to Prayers,Touhou Wondrous Tale ~ The Highly Responsive to Prayers,old_works,PC-98,1997,東方靈異伝　～ The Highly Responsive to Prayers
th02,동방봉마록 ~ the Story of Eastern Wonderland,東方封魔録　～ the Story of Eastern Wonderland,Touhou Demon-Sealing Record ~ The Story of Eastern Wonderland,old_works,PC-98,1998,東方封魔録　～ the Story of Eastern Wonderland
th03,동방몽시공 ~ Phantasmagoria of Dim.Dream,東方夢時空　～ Phantasmagoria of Dim.Dream,Touhou Space Time Dream ~ Phantasmagoria of Dim. Dream,old_works,PC-98,1999,東方夢時空　～ Phantasmagoria of Dim.Dream
th04,동방환상향 ~ Lotus Land Story,東方幻想郷　～ Lotus Land Story,Touhou Gensokyo ~ Lotus Land Story,old_works,PC-98,2000,東方幻想郷　～ Lotus Land Story
th05,동방괴기담 ~ Mystic Square,東方怪綺談　～ Mystic Square,Touhou Bizarre Romantic Story ~ Mystic Square,old_works,PC-98,2001,東方怪綺談　～ Mystic Square
th06,동방홍마향 ~ the Embodiment of Scarlet Devil.,東方紅魔郷　～ the Embodiment of Scarlet Devil,Touhou Scarlet Devil Land ~ The Embodiment of Scarlet Devil,main_series,Windows,2002,東方紅魔郷　～ the Embodiment of Scarlet Devil
th07,동방요요몽 ~ Perfect Cherry Blossom.,東方妖々夢　～ Perfect Cherry Blossom,Touhou Ghostly Dream ~ Perfect Cherry Blossom,main_series,Windows,2003,東方妖々夢　～ Perfect Cherry Blossom
th08,동방영야초 ~ Imperishable Night.,東方永夜抄　～ Imperishable Night,Touhou Eternal Night Vignette ~ Imperishable Night,main_series,Windows,2004,東方永夜抄　～ Imperishable Night
th09,동방화영총 ~ Phantasmagoria of Flower View.,東方花映塚　～ Phantasmagoria of Flower View,Touhou Flower Reflecting Mound ~ Phantasmagoria of Flower View,main_series,Windows,2005,東方花映塚　～ Phantasmagoria of Flower View
th10,동방풍신록 ~ Mountain of Faith.,東方風神録　～ Mountain of Faith,Touhou Wind God Chronicles ~ Mountain of Faith,main_series,Windows,2006,東方風神録　～ Mountain of Faith
th11,동방지령전 ~ Subterranean Animism.,東方地霊殿　～ Subterranean Animism,Touhou Earth Spirit Palace ~ Subterranean Animism,main_series,Windows,2007,東方地霊殿　～ Subterranean Animism
th12,동방성련선 ~ Undefined Fantastic Object.,東方星蓮船　～ Undefined Fantastic Object,Touhou Star Lotus Ship ~ Undefined Fantastic Object,main_series,Windows,2008,東方星蓮船　～ Undefined Fantastic Object
th14,동방휘침성 ~ Double Dealing Character.,東方輝針城　～ Double Dealing Character,Touhou Shining Needle Castle ~ Double Dealing Character,main_series,Windows,2010,東方輝針城　～ Double Dealing Character
th16,동방천공장 ~ Hidden Star in Four Seasons.,東方天空璋　～ Hidden Star in Four Seasons,Touhou Heavenly Jade Dipper ~ Hidden Star in Four Seasons,main_series,Windows,2012,東方天空璋　～ Hidden Star in Four Seasons
th17,동방귀형수 ~ Wily Beast and Weakest Creature.,東方鬼形獣　～ Wily Beast and Weakest Creature,Touhou Oni-Shaped Beast ~ Wily Beast and Weakest Creature,main_series,Windows,2013,東方鬼形獣　～ Wily Beast and Weakest Creature
th18,동방홍룡동 ~ Unconnected Marketeers.,東方虹龍洞　〜 Unconnected Marketeers,Touhou Rainbow Dragon Cavern ~ Unconnected Marketeers,main_series,Windows,2014,東方虹龍洞　〜 Unconnected Marketeers
th19,동방수왕원 ~ Unfinished Dream of All Living Ghost.,東方獣王園　〜 Unfinished Dream of All Living Ghost,Touhou Beast King Garden ~ Unfinished Dream of All Living Ghost,main_series,Windows,2015,東方獣王園　〜 Unfinished Dream of All Living Ghost
th075,동방췌몽상 ~ Immaterial and Missing Power.,東方萃夢想　～ Immaterial and Missing Power,Touhou Gathering Reverie ~ Immaterial and Missing Power,fighting_games,Fighting,2004,東方萃夢想　～ Immaterial and Missing Power
th095,동방문화첩 ~ Shoot the Bullet.,東方文花帖　～ Shoot the Bullet,Touhou Word Flower Album ~ Shoot the Bullet,fighting_games,Fighting,2006,東方文花帖　～ Shoot the Bullet
alcostg,황혼주점～Uwabami Breakers～,黄昏酒場～Uwabami Breakers～,Twilight Bar Room ~ Uwabami Breakers,other_games,Other,,黄昏酒場～Uwabami Breakers～
th13,동방신령묘 ~ Ten Desires.,東方神霊廟　～ Ten Desires,Touhou Divine Spirit Mausoleum ~ Ten Desires,main_series,Windows,2009,東方神霊廟　～ Ten Desires
th15,동방감주전 ~ Legacy of Lunatic Kingdom.,東方紺珠伝　～ Legacy of Lunatic Kingdom,Touhou Legend of the Ultramarine Orb ~ Legacy of Lunatic Kingdom,main_series,Windows,2011,東方紺珠伝　～ Legacy of Lunatic Kingdom
th20,동방금상경 ~ Fossilized Wonders.,東方錦上京　〜 Fossilized Wonders,Touhou Crowning Glory Capital ~ Fossilized Wonders,main_series,Windows,2016,東方錦上京　〜 Fossilized Wonders
th105,동방비상천 ~ Scarlet Weather Rhapsody.,東方緋想天 ～ Scarlet Weather Rhapsody,Touhou Scarlet Perception Heaven ~ Scarlet Weather Rhapsody,fighting_games,Fighting,2007,東方緋想天 ～ Scarlet Weather Rhapsody
th123,동방비상천칙 ~ 초대형 기뇰의 수수께끼를 쫓아서,東方非想天則　～ 超弩級ギニョルの謎を追え,Touhou Unperceiving of Natural Law ~ Chase the Enigma of the Gargantuan Guignol,fighting_games,Fighting,2008,東方非想天則　～ 超弩級ギニョルの謎を追え
th125,더블 스포일러 ~ 동방문화첩,ダブルスポイラー　～ 東方文花帖,Double Spoiler ~ Touhou Word Flower Album,fighting_games,Fighting,2009,ダブルスポイラー　～ 東方文花帖
th128,요정대전쟁 ~ 동방삼월정,妖精大戦争　～ 東方三月精,Great Fairy Wars ~ Touhou Three Fairies,fighting_games,Fighting,2009,妖精大戦争　～ 東方三月精
th135,동방심기루 ~ Hopeless Masquerade.,東方心綺楼　～ Hopeless Masquerade,Touhou Heart Elegant Tower ~ Hopeless Masquerade,fighting_games,Fighting,2010,東方心綺楼　～ Hopeless Masquerade
th143,탄막 아마노자쿠 ~ Impossible Spell Card.,弾幕アマノジャク　～ Impossible Spell Card,Danmaku Amanojaku ~ Impossible Spell Card,fighting_games,Fighting,2010,弾幕アマノジャク　～ Impossible Spell Card
th145,동방심비록 ~ Urban Legend in Limbo.,東方深秘録　～ Urban Legend in Limbo,Touhou Deep Secrets Record ~ Urban Legend in Limbo,fighting_games,Fighting,2011,東方深秘録　～ Urban Legend in Limbo
th155,동방빙의화 ~ Antinomy of Common Flowers.,東方憑依華　～ Antinomy of Common Flowers,Touhou Flowers of Possession ~ Antinomy of Common Flowers,fighting_games,Fighting,2012,東方憑依華　～ Antinomy of Common Flowers
