id,game_id,title_ko,title_jp,title_en,type,series,track_number
alcostg_01,alcostg,step u/b (lazy style),step u/b (lazy style),step u/b (lazy style),other_game_track,Other,01
alcostg_02,alcostg,step u/b,step u/b,step u/b,other_game_track,Other,02
alcostg_03,alcostg,Festiv-al-coholically,Festiv-al-coholically,Festiv-al-coholically,other_game_track,Other,03
alcostg_04,alcostg,Valse Alcoholique,Valse Alcoholique,Valse Alcoholique,other_game_track,Other,04
alcostg_05,alcostg,chase the Twilight,chase the Twilight,chase the Twilight,other_game_track,Other,05
alcostg_06,alcostg,주정뱅이의 레무리아,呑んべぇのレムリア,A Drunkard's Lemuria,other_game_track,Other,06
alcostg_07,alcostg,완전 괜찮아!! 아무리 마셔도 아침이 와요!!,絶対大丈夫だよ！！いくら飲んでも朝が来るよ！！。,"It's definitely okay!! No matter how much you drink, tomorrow will come!!.",other_game_track,Other,07
mcd_01_01,mcd_01,봉래전설,蓬莱伝説,Legend of Hourai,music_cd_track,ZUN Collection,01
mcd_01_02,mcd_01,이색연화접 ~ Red and White,二色蓮花蝶 ～ Red And White,Dichromatic Lotus Butterfly ~ Red and White,music_cd_track,ZUN Collection,02
mcd_01_03,mcd_01,앵화지연총 ~ Japanese Flower,桜花之恋塚 ～ Japanese Flower,Lovely Mound of Cherry Blossoms ~ Japanese Flower,music_cd_track,ZUN Collection,03
mcd_01_04,mcd_01,메이지 17년의 상하이 앨리스,明治十七年の上海アリス,Shanghai Alice of Meiji 17,music_cd_track,ZUN Collection,04
mcd_01_05,mcd_01,동방괴기담,東方怪奇談,Eastern Tale of Fancy,music_cd_track,ZUN Collection,05
mcd_01_06,mcd_01,에니그마틱 돌,エニグマティクドール,Enigmatic Doll,music_cd_track,ZUN Collection,06
mcd_01_07,mcd_01,서커스 레버리,サーカスレヴァリエ,Circus Reverie,music_cd_track,ZUN Collection,07
mcd_01_08,mcd_01,인형의 숲,人形の森,Forest of Dolls,music_cd_track,ZUN Collection,08
mcd_01_09,mcd_01,Witch of Love Potion,Witch of Love Potion,Witch of Love Potion,music_cd_track,ZUN Collection,09
mcd_01_10,mcd_01,리인카네이션,リーインカーネイション,Reincarnation,music_cd_track,ZUN Collection,10
mcd_01_11,mcd_01,U.N.오웬은 그녀인가?,U.N.オーエンは彼女なのか？,U.N. Owen was Her?,music_cd_track,ZUN Collection,11
mcd_01_12,mcd_01,영원의 무녀,永遠の巫女,Eternal Shrine Maiden,music_cd_track,ZUN Collection,12
