Major_Category_ko,Sub_Category_ko,Korean,Major_Category_ja,Sub_Category_ja,Japanese,Major_Category_en,Sub_Category_en,English
인요부문,공통,하쿠레이 레이무,人妖部門,共通,博麗 霊夢,Characters,Common,Reimu Hakurei
인요부문,공통,키리사메 마리사,人妖部門,共通,霧雨 魔理沙,Characters,Common,Marisa Kirisame
인요부문,동방홍마향,루미아,人妖部門,東方紅魔郷,ルーミア,Characters,Embodiment of Scarlet Devil,Rumia
인요부문,동방홍마향,대요정,人妖部門,東方紅魔郷,大妖精,Characters,Embodiment of Scarlet Devil,Daiyousei
인요부문,동방홍마향,치르노,人妖部門,東方紅魔郷,チルノ,Characters,Embodiment of Scarlet Devil,Cirno
인요부문,동방홍마향,홍 메이링,人妖部門,東方紅魔郷,紅 美鈴,Characters,Embodiment of Scarlet Devil,Hong Meiling
인요부문,동방홍마향,소악마,人妖部門,東方紅魔郷,小悪魔,Characters,Embodiment of Scarlet Devil,Koakuma
인요부문,동방홍마향,파츄리 널릿지,人妖部門,東方紅魔郷,パチュリー・ノーレッジ,Characters,Embodiment of Scarlet Devil,Patchouli Knowledge
인요부문,동방홍마향,이자요이 사쿠야,人妖部門,東方紅魔郷,十六夜 咲夜,Characters,Embodiment of Scarlet Devil,Sakuya Izayoi
인요부문,동방홍마향,레밀리아 스칼렛,人妖部門,東方紅魔郷,レミリア・スカーレット,Characters,Embodiment of Scarlet Devil,Remilia Scarlet
인요부문,동방홍마향,플랑드르 스칼렛,人妖部門,東方紅魔郷,フランドール・スカーレット,Characters,Embodiment of Scarlet Devil,Flandre Scarlet
인요부문,동방요요몽,레티 화이트락,人妖部門,東方妖々夢,レティ・ホワイトロック,Characters,Perfect Cherry Blossom,Letty Whiterock
인요부문,동방요요몽,첸,人妖部門,東方妖々夢,橙,Characters,Perfect Cherry Blossom,Chen
인요부문,동방요요몽,앨리스 마가트로이드,人妖部門,東方妖々夢,アリス・マーガトロイド,Characters,Perfect Cherry Blossom,Alice Margatroid
인요부문,동방요요몽,릴리 화이트,人妖部門,東方妖々夢,リリーホワイト,Characters,Perfect Cherry Blossom,Lily White
인요부문,동방요요몽,루나사 프리즘리버,人妖部門,東方妖々夢,ルナサ・プリズムリバー,Characters,Perfect Cherry Blossom,Lunasa Prismriver
인요부문,동방요요몽,메를랑 프리즘리버,人妖部門,東方妖々夢,メルラン・プリズムリバー,Characters,Perfect Cherry Blossom,Merlin Prismriver
인요부문,동방요요몽,리리카 프리즘리버,人妖部門,東方妖々夢,リリカ・プリズムリバー,Characters,Perfect Cherry Blossom,Lyrica Prismriver
인요부문,동방요요몽,콘파쿠 요우무,人妖部門,東方妖々夢,魂魄 妖夢,Characters,Perfect Cherry Blossom,Youmu Konpaku
인요부문,동방요요몽,사이교우지 유유코,人妖部門,東方妖々夢,西行寺 幽々子,Characters,Perfect Cherry Blossom,Yuyuko Saigyouji
인요부문,동방요요몽,야쿠모 란,人妖部門,東方妖々夢,八雲 藍,Characters,Perfect Cherry Blossom,Ran Yakumo
인요부문,동방요요몽,야쿠모 유카리,人妖部門,東方妖々夢,八雲 紫,Characters,Perfect Cherry Blossom,Yukari Yakumo
인요부문,동방영야초,리글 나이트버그,人妖部門,東方永夜抄,リグル・ナイトバグ,Characters,Imperishable Night,Wriggle Nightbug
인요부문,동방영야초,미스티아 로렐라이,人妖部門,東方永夜抄,ミスティア・ローレライ,Characters,Imperishable Night,Mystia Lorelei
인요부문,동방영야초,카미시라사와 케이네,人妖部門,東方永夜抄,上白沢 慧音,Characters,Imperishable Night,Keine Kamishirasawa
