대분류	소분류	한국어	일본어	영어
人妖部門	共通	하쿠레이 레이무	博麗 霊夢	Reimu Hakurei
人妖部門	共通	키리사메 마리사	霧雨 魔理沙	Marisa Kirisame
人妖部門	東方紅魔郷	루미아	ルーミア	Rumia
人妖部門	東方紅魔郷	대요정	大妖精	Daiyousei
人妖部門	東方紅魔郷	치르노	チルノ	Cirno
人妖部門	東方紅魔郷	홍 메이링	紅 美鈴	Hong Meiling
人妖部門	東方紅魔郷	소악마	小悪魔	Koakuma
人妖部門	東方紅魔郷	파츄리 널릿지	パチュリー・ノーレッジ	Patchouli Knowledge
人妖部門	東方紅魔郷	이자요이 사쿠야	十六夜 咲夜	Sakuya Izayoi
人妖部門	東方紅魔郷	레밀리아 스칼렛	レミリア・スカーレット	Remilia Scarlet
人妖部門	東方紅魔郷	플랑드르 스칼렛	フランドール・スカーレット	Flandre Scarlet
人妖部門	東方妖々夢	레티 화이트락	レティ・ホワイトロック	Letty Whiterock
人妖部門	東方妖々夢	첸	橙	Chen
人妖部門	東方妖々夢	앨리스 마가트로이드	アリス・マーガトロイド	Alice Margatroid
人妖部門	東方妖々夢	릴리 화이트	リリーホワイト	Lily White
人妖部門	東方妖々夢	루나사 프리즘리버	ルナサ・プリズムリバー	Lunasa Prismriver
人妖部門	東方妖々夢	메를랑 프리즘리버	メルラン・プリズムリバー	Merlin Prismriver
人妖部門	東方妖々夢	리리카 프리즘리버	リリカ・プリズムリバー	Lyrica Prismriver
人妖部門	東方妖々夢	콘파쿠 요우무	魂魄 妖夢	Youmu Konpaku
人妖部門	東方妖々夢	사이교우지 유유코	西行寺 幽々子	Yuyuko Saigyouji
人妖部門	東方妖々夢	야쿠모 란	八雲 藍	Ran Yakumo
人妖部門	東方妖々夢	야쿠모 유카리	八雲 紫	Yukari Yakumo
人妖部門	東方永夜抄	리글 나이트버그	リグル・ナイトバグ	Wriggle Nightbug
人妖部門	東方永夜抄	미스티아 로렐라이	ミスティア・ローレライ	Mystia Lorelei
人妖部門	東方永夜抄	카미시라사와 케이네	上白沢 慧音	Keine Kamishirasawa
人妖部門	東方永夜抄	이나바 테위	因幡 てゐ	Tewi Inaba
人妖部門	東方永夜抄	레이센 우동게인 이나바	鈴仙・優曇華院・イナバ	Reisen Udongein Inaba
人妖部門	東方永夜抄	야고코로 에이린	八意 永琳	Eirin Yagokoro
人妖部門	東方永夜抄	호라이산 카구야	蓬莱山 輝夜	Kaguya Houraisan
人妖部門	東方永夜抄	후지와라노 모코우	藤原 妹紅	Fujiwara no Mokou
人妖部門	東方萃夢想	이부키 스이카	伊吹 萃香	Suika Ibuki
人妖部門	東方文花帖	샤메이마루 아야	射命丸 文	Aya Shameimaru
人妖部門	東方花映塚	메디슨 멜랑콜리	メディスン・メランコリー	Medicine Melancholy
人妖部門	東方花映塚	카자미 유카	風見 幽香	Yuuka Kazami
人妖部門	東方花映塚	오노즈카 코마치	小野塚 小町	Komachi Onozuka
人妖部門	東方花映塚	시키에이키 야마자나두	四季映姫・ヤマザナドゥ	Eiki Shiki, Yamaxanadu
人妖部門	東方風神録	아키 시즈하	秋 静葉	Shizuha Aki
人妖部門	東方風神録	아키 미노리코	秋 穣子	Minoriko Aki
人妖部門	東方風神録	카기야마 히나	鍵山 雛	Hina Kagiyama
