Major_Category_en,Sub_Category_en,Major_Category_ja,Sub_Category_ja,Major_Category_ko,Sub_Category_ko,Korean,Japanese,English
Characters,Common,人妖部門,共通,인요부문,공통,하쿠레이 레이무,博麗 霊夢,Reimu Hakurei
Characters,Common,人妖部門,共通,인요부문,공통,키리사메 마리사,霧雨 魔理沙,Marisa Kirisame
Characters,Embodiment of Scarlet Devil,人妖部門,東方紅魔郷,인요부문,동방홍마향,루미아,ルーミア,Rumia
Characters,Embodiment of Scarlet Devil,人妖部門,東方紅魔郷,인요부문,동방홍마향,대요정,大妖精,Daiyousei
Characters,Embodiment of Scarlet Devil,人妖部門,東方紅魔郷,인요부문,동방홍마향,치르노,チルノ,Cirno
Characters,Embodiment of Scarlet Devil,人妖部門,東方紅魔郷,인요부문,동방홍마향,홍 메이링,紅 美鈴,Hong Meiling
Characters,Embodiment of Scarlet Devil,人妖部門,東方紅魔郷,인요부문,동방홍마향,소악마,小悪魔,Koakuma
Characters,Embodiment of Scarlet Devil,人妖部門,東方紅魔郷,인요부문,동방홍마향,파츄리 널릿지,パチュリー・ノーレッジ,Patchouli Knowledge
Characters,Embodiment of Scarlet Devil,人妖部門,東方紅魔郷,인요부문,동방홍마향,이자요이 사쿠야,十六夜 咲夜,Sakuya Izayoi
Characters,Embodiment of Scarlet Devil,人妖部門,東方紅魔郷,인요부문,동방홍마향,레밀리아 스칼렛,レミリア・スカーレット,Remilia Scarlet
Characters,Embodiment of Scarlet Devil,人妖部門,東方紅魔郷,인요부문,동방홍마향,플랑드르 스칼렛,フランドール・スカーレット,Flandre Scarlet
Characters,Perfect Cherry Blossom,人妖部門,東方妖々夢,인요부문,동방요요몽,레티 화이트락,レティ・ホワイトロック,Letty Whiterock
Characters,Perfect Cherry Blossom,人妖部門,東方妖々夢,인요부문,동방요요몽,첸,橙,Chen
Characters,Perfect Cherry Blossom,人妖部門,東方妖々夢,인요부문,동방요요몽,앨리스 마가트로이드,アリス・マーガトロイド,Alice Margatroid
Characters,Perfect Cherry Blossom,人妖部門,東方妖々夢,인요부문,동방요요몽,릴리 화이트,リリーホワイト,Lily White
Characters,Perfect Cherry Blossom,人妖部門,東方妖々夢,인요부문,동방요요몽,루나사 프리즘리버,ルナサ・プリズムリバー,Lunasa Prismriver
Characters,Perfect Cherry Blossom,人妖部門,東方妖々夢,인요부문,동방요요몽,메를랑 프리즘리버,メルラン・プリズムリバー,Merlin Prismriver
Characters,Perfect Cherry Blossom,人妖部門,東方妖々夢,인요부문,동방요요몽,리리카 프리즘리버,リリカ・プリズムリバー,Lyrica Prismriver
Characters,Perfect Cherry Blossom,人妖部門,東方妖々夢,인요부문,동방요요몽,콘파쿠 요우무,魂魄 妖夢,Youmu Konpaku
Characters,Perfect Cherry Blossom,人妖部門,東方妖々夢,인요부문,동방요요몽,사이교우지 유유코,西行寺 幽々子,Yuyuko Saigyouji
Characters,Perfect Cherry Blossom,人妖部門,東方妖々夢,인요부문,동방요요몽,야쿠모 란,八雲 藍,Ran Yakumo
Characters,Perfect Cherry Blossom,人妖部門,東方妖々夢,인요부문,동방요요몽,야쿠모 유카리,八雲 紫,Yukari Yakumo
Characters,Imperishable Night,人妖部門,東方永夜抄,인요부문,동방영야초,리글 나이트버그,リグル・ナイトバグ,Wriggle Nightbug
Characters,Imperishable Night,人妖部門,東方永夜抄,인요부문,동방영야초,미스티아 로렐라이,ミスティア・ローレライ,Mystia Lorelei
Characters,Imperishable Night,人妖部門,東方永夜抄,인요부문,동방영야초,카미시라사와 케이네,上白沢 慧音,Keine Kamishirasawa
Characters,Imperishable Night,人妖部門,東方永夜抄,인요부문,동방영야초,이나바 테위,因幡 てゐ,Tewi Inaba
Characters,Imperishable Night,人妖部門,東方永夜抄,인요부문,동방영야초,레이센 우동게인 이나바,鈴仙・優曇華院・イナバ,Reisen Udongein Inaba
Characters,Imperishable Night,人妖部門,東方永夜抄,인요부문,동방영야초,야고코로 에이린,八意 永琳,Eirin Yagokoro
